original_index,positive_sentences,integrated_sentences,doi
174/372,"If we could employ some methods such as strain or doping to modulate the gap, the anisotropy can be eﬀectively modulated, which would be of signiﬁcance in the thermal management ap- plications.","Thus the anisotropy is associ- ated with the gap of phonon dispersions that the larger the gap the stronger the anisotropy. If we could employ some methods such as strain or doping to modulate the gap, the anisotropy can be eﬀectively modulated, which would be of signiﬁcance in the thermal management ap- plications.",99/10.1039/c6nr01349j
176/372,"Since the frequency depen- dent average phonon group velocity of the four mono- layer compounds is nearly isotropic for high frequency phonon modes above the separatrix frequency, the cou- pling will suppress the anisotropy of the low frequency phonon modes below the separatrix frequency when there is no gap.","The inﬂuence of the gap on the anisotropy can be understood in terms of the coupling between the high and low frequency phonon modes at both sides of the separatrix frequency, which is supported by the scat- tering channels among phonon modes presented in the next section (Sec. VI B). Since the frequency depen- dent average phonon group velocity of the four mono- layer compounds is nearly isotropic for high frequency phonon modes above the separatrix frequency, the cou- pling will suppress the anisotropy of the low frequency phonon modes below the separatrix frequency when there is no gap.",99/10.1039/c6nr01349j
178/372,"If the gap is very large, the coupling disappears, resulting in the appearance of the strong anisotropy of low frequency phonon modes.","When a gap exists, the coupling will be weak, leading to the presence of the anisotropy. If the gap is very large, the coupling disappears, resulting in the appearance of the strong anisotropy of low frequency phonon modes.",99/10.1039/c6nr01349j
184/372,"4) There is no gap in the phonon dispersion of monolayer SnSe, while there is a large gap for bulk SnSe.","3) The Young’s modulus of monolayer SnSe is larger than that of bulk SnSe, which means that mono- layer SnSe is more rigid than bulk SnSe, leading to the larger phonon group velocity and κ of monolayer SnSe. 4) There is no gap in the phonon dispersion of monolayer SnSe, while there is a large gap for bulk SnSe.",99/10.1039/c6nr01349j
185/372,"The low and high frequency phonon modes at both sides of the gap are decoupled in bulk SnSe due to the large gap, re- sulting in the huge anisotropy of the phonon group veloc- ity and contributions to κ of low frequency phonon modes below the gap, as shown in the insert of Fig. 5(d).","4) There is no gap in the phonon dispersion of monolayer SnSe, while there is a large gap for bulk SnSe. The low and high frequency phonon modes at both sides of the gap are decoupled in bulk SnSe due to the large gap, re- sulting in the huge anisotropy of the phonon group veloc- ity and contributions to κ of low frequency phonon modes below the gap, as shown in the insert of Fig. 5(d).",99/10.1039/c6nr01349j
197/372,"As discussed above, there exists a gap between O1 and O2 for monolayer GeS and GeSe, while the gap disappears for monolayer SnS and SnSe.","collected together as ”A”, the 3 low frequency optical phonon branches are collected together as ”O1”, and the 6 optical phonon branches with high frequency are col- lected together as ”O2”. As discussed above, there exists a gap between O1 and O2 for monolayer GeS and GeSe, while the gap disappears for monolayer SnS and SnSe.",99/10.1039/c6nr01349j
199/372,"Note that the phonon scattering channels are similar for GeSe, SnS and SnSe, while that for GeS is diﬀerent due to the lack of the scattering channels of LA/TA/FA+A/O1→O2, which is resulted from the large gap (2.014 THz) between O1 and O2 for monolayer GeS.","All the possible phonon scattering channels for the four monolayer compounds are plotted in Fig. 6. Note that the phonon scattering channels are similar for GeSe, SnS and SnSe, while that for GeS is diﬀerent due to the lack of the scattering channels of LA/TA/FA+A/O1→O2, which is resulted from the large gap (2.014 THz) between O1 and O2 for monolayer GeS.",99/10.1039/c6nr01349j
202/372,"The scattering between A and O1 phonon branches, especially for TA and FA, is highly enhanced due to the tiny or disappeared gap for monolayer GeSe, SnS and SnSe.","In contrast, the major scattering channels for monolayer GeSe, SnS and SnSe are LA/TA/FA+A→O1. The scattering between A and O1 phonon branches, especially for TA and FA, is highly enhanced due to the tiny or disappeared gap for monolayer GeSe, SnS and SnSe.",99/10.1039/c6nr01349j
204/372,"Along with the characteristics of their phonon dispersions as shown in Fig. 2, it can be concluded that a large gap will result in the decoupling between acoustic and high11 FIG.","Furthermore, besides LA/TA/FA+A→O1, the scattering channels of TA/FA+O1→O1 for monolayer SnS, and the scatter- ing channels of LA/TA/FA+O1→O2, LA+A→O2 and TA/FA+O2→O2 for monolayer SnSe play a major role. Along with the characteristics of their phonon dispersions as shown in Fig. 2, it can be concluded that a large gap will result in the decoupling between acoustic and high11 FIG.",99/10.1039/c6nr01349j
207/372,"frequency optical phonon modes, and when the gap is tiny or disappears, the phonon branches becomes close to each other, which will result in their strong couplings and lead to a remarkable scattering channel.","The symbols of atoms are marked on site. frequency optical phonon modes, and when the gap is tiny or disappears, the phonon branches becomes close to each other, which will result in their strong couplings and lead to a remarkable scattering channel.",99/10.1039/c6nr01349j
208/372,"It is discussed above based on Fig. 5 that the phonon transport properties of the four monolayer compounds are nearly isotropic for high frequency phonon modes above the separatrix frequency (where the gap locates), which separates the phonon dispersion into two re- gions containing equal numbers of branches, while the anisotropy along the two diﬀerent directions is conspicu- ous for low frequency phonon modes below the separatrix frequency.","frequency optical phonon modes, and when the gap is tiny or disappears, the phonon branches becomes close to each other, which will result in their strong couplings and lead to a remarkable scattering channel. It is discussed above based on Fig. 5 that the phonon transport properties of the four monolayer compounds are nearly isotropic for high frequency phonon modes above the separatrix frequency (where the gap locates), which separates the phonon dispersion into two re- gions containing equal numbers of branches, while the anisotropy along the two diﬀerent directions is conspicu- ous for low frequency phonon modes below the separatrix frequency.",99/10.1039/c6nr01349j
210/372,The coupling between the phonon branches will suppress the anisotropy of the low frequency phonon modes when there is no gap.,It is the phonon modes in the region below the separatrix frequency that result in the anisotropy. The coupling between the phonon branches will suppress the anisotropy of the low frequency phonon modes when there is no gap.,99/10.1039/c6nr01349j
212/372,"If the gap is very large, the coupling disappears, resulting in the appearance of the strong anisotropy of low fre- quency phonon modes.","When a gap exists, the coupling will be weak, leading to the presence of the anisotropy. If the gap is very large, the coupling disappears, resulting in the appearance of the strong anisotropy of low fre- quency phonon modes.",99/10.1039/c6nr01349j
256/372,"Based on the anal- ysis of the frequency dependent κ and average phonon group velocity, we ﬁnd that the anisotropy is mainly introduced by the region below the gap between the high frequency optical phonon modes and low frequency phonon modes in the phonon dispersions.","The anisotropy of thermal conductivity is actually dominated by the anisotropy of phonon group velocity. Based on the anal- ysis of the frequency dependent κ and average phonon group velocity, we ﬁnd that the anisotropy is mainly introduced by the region below the gap between the high frequency optical phonon modes and low frequency phonon modes in the phonon dispersions.",99/10.1039/c6nr01349j
258/372,"The inﬂuence of the gap on the anisotropy can be explained from the coupling be- tween the phonon modes at both sides of the gap, which is supported by the phonon scattering channels.","The larger the gap, the stronger the anisotropy. The inﬂuence of the gap on the anisotropy can be explained from the coupling be- tween the phonon modes at both sides of the gap, which is supported by the phonon scattering channels.",99/10.1039/c6nr01349j
4/419,Experimental results verified the theoretical prediction of energetically  favorable K-Q interlayer excitons and unraveled exciton-population dynamics that was  controlled by the twist-angle-dependent energy difference between the K-Q and K-K excitons.,"Here, we investigated interlayer exciton  dynamics and transport modulated by the moiré potentials in WS2-WSe2 heterobilayers in time,  space, and momentum domains using transient absorption microscopy combined with first- principles calculations. Experimental results verified the theoretical prediction of energetically  favorable K-Q interlayer excitons and unraveled exciton-population dynamics that was  controlled by the twist-angle-dependent energy difference between the K-Q and K-K excitons.",12/10.1038/s41563-020-0670-3
5/419,"Spatially- and temporally-resolved exciton-population imaging directly visualizes exciton  localization by twist-angle-dependent moiré potentials of ~100 meV. Exciton transport deviates  significantly from normal diffusion due to the interplay between the moiré potentials and strong  many-body interactions, leading to exciton-density- and twist-angle-dependent diffusion length.","Experimental results verified the theoretical prediction of energetically  favorable K-Q interlayer excitons and unraveled exciton-population dynamics that was  controlled by the twist-angle-dependent energy difference between the K-Q and K-K excitons. Spatially- and temporally-resolved exciton-population imaging directly visualizes exciton  localization by twist-angle-dependent moiré potentials of ~100 meV. Exciton transport deviates  significantly from normal diffusion due to the interplay between the moiré potentials and strong  many-body interactions, leading to exciton-density- and twist-angle-dependent diffusion length.",12/10.1038/s41563-020-0670-3
9/419,"Scanning tunneling microscopy  measurements and density functional theory (DFT) simulations for MoS2-WSe2 10,12,13 have  shown that the bandgap of the heterobilayer vary spatially within the moiré pattern, suggesting  amplitudes of moiré potentials as large as hundreds of meV. More recently, far-field optical  measurements have indicated the existence of moiré excitons in semiconducting TMDC  heterostructures by observations, such as trap exciton emission, flat exciton band, spatially  varying valley polarization, and resonantly hybridized excitons14-19.","Further, lattice mismatch or rotational misalignment in the semiconducting TMDC  heterostructures leads to the formation of moiré potentials (e.g. nanoscale periodic energy  potentials for excitons), providing a configurable solid-state excitonic analog to ultracold atoms  in optical lattices or photons in photonic crystals10,11. Scanning tunneling microscopy  measurements and density functional theory (DFT) simulations for MoS2-WSe2 10,12,13 have  shown that the bandgap of the heterobilayer vary spatially within the moiré pattern, suggesting  amplitudes of moiré potentials as large as hundreds of meV. More recently, far-field optical  measurements have indicated the existence of moiré excitons in semiconducting TMDC  heterostructures by observations, such as trap exciton emission, flat exciton band, spatially  varying valley polarization, and resonantly hybridized excitons14-19.",12/10.1038/s41563-020-0670-3
31/419,"c, Schematic of the type-II band alignment in the WS2- WSe2 heterobilayers displaying interlayer exciton formation.","The moiré superlattice is marked by white solid lines showing a periodicity of ~8.5 nm, consistent with the  mismatch of the lattice constants of the monolayers of ~4%. c, Schematic of the type-II band alignment in the WS2- WSe2 heterobilayers displaying interlayer exciton formation.",12/10.1038/s41563-020-0670-3
32/419,"d, PL spectrum of the WS2-WSe2 heterobilayers with  twist angles of 0° and 60° at 78 K. The peak at ~1.45 eV corresponds to the interlayer exciton emission.","c, Schematic of the type-II band alignment in the WS2- WSe2 heterobilayers displaying interlayer exciton formation. d, PL spectrum of the WS2-WSe2 heterobilayers with  twist angles of 0° and 60° at 78 K. The peak at ~1.45 eV corresponds to the interlayer exciton emission.",12/10.1038/s41563-020-0670-3
34/419,"e, PL image of the WS2-WSe2 heterobilayers with  twist angles of 0° and 60° taken at 295 K. The detection energy is 1.95 eV, corresponding to the A exciton emission  of the 1L-WS2.","PL spectra  are normalized with respect to the peak intensity of the 1L-WS2. e, PL image of the WS2-WSe2 heterobilayers with  twist angles of 0° and 60° taken at 295 K. The detection energy is 1.95 eV, corresponding to the A exciton emission  of the 1L-WS2.",12/10.1038/s41563-020-0670-3
35/419,"f, PL image of the WS2-WSe2 heterobilayer with twist angle of 60° taken at 78 K. The detection  energy is 1.45 eV, corresponding to the interlayer exciton emission.","e, PL image of the WS2-WSe2 heterobilayers with  twist angles of 0° and 60° taken at 295 K. The detection energy is 1.95 eV, corresponding to the A exciton emission  of the 1L-WS2. f, PL image of the WS2-WSe2 heterobilayer with twist angle of 60° taken at 78 K. The detection  energy is 1.45 eV, corresponding to the interlayer exciton emission.",12/10.1038/s41563-020-0670-3
36/419,"The WS2-WSe2 heterobilayers have a type-II band alignment, as shown schematically in  Fig. 1c29,30, resulting in the formation of spatially-indirect interlayer charge-transfer excitons,  with electrons and holes residing in the WS2 and WSe2 layers, respectively.","f, PL image of the WS2-WSe2 heterobilayer with twist angle of 60° taken at 78 K. The detection  energy is 1.45 eV, corresponding to the interlayer exciton emission. The WS2-WSe2 heterobilayers have a type-II band alignment, as shown schematically in  Fig. 1c29,30, resulting in the formation of spatially-indirect interlayer charge-transfer excitons,  with electrons and holes residing in the WS2 and WSe2 layers, respectively.",12/10.1038/s41563-020-0670-3
37/419,"As shown in Fig. 1d,6 the photoluminescence (PL) spectra at 78 K display a new emission peak at ~1.45 eV in both  WS2-WSe2 with twist angles of 0° and 60°, which is attributed to the emission from the  interlayer excitons16.","The WS2-WSe2 heterobilayers have a type-II band alignment, as shown schematically in  Fig. 1c29,30, resulting in the formation of spatially-indirect interlayer charge-transfer excitons,  with electrons and holes residing in the WS2 and WSe2 layers, respectively. As shown in Fig. 1d,6 the photoluminescence (PL) spectra at 78 K display a new emission peak at ~1.45 eV in both  WS2-WSe2 with twist angles of 0° and 60°, which is attributed to the emission from the  interlayer excitons16.",12/10.1038/s41563-020-0670-3
38/419,"Figs. 1e and 1f depict PL images collected at 1.95 eV and 1.45 eV,  corresponding to the emission from the intralayer A exciton in WS2 and the interlayer exciton  emission, respectively.","As shown in Fig. 1d,6 the photoluminescence (PL) spectra at 78 K display a new emission peak at ~1.45 eV in both  WS2-WSe2 with twist angles of 0° and 60°, which is attributed to the emission from the  interlayer excitons16. Figs. 1e and 1f depict PL images collected at 1.95 eV and 1.45 eV,  corresponding to the emission from the intralayer A exciton in WS2 and the interlayer exciton  emission, respectively.",12/10.1038/s41563-020-0670-3
40/419,"The PL microscopy image (Fig. 1f) of the  interlayer exciton at 1.45 eV shows that the emission is homogenous over the heterostructure  region, confirming the high quality of the interfacial contact.","Significant PL quench of the WS2 A exciton in the heterostructures  indicates an efficient charge separation (Fig.1e). The PL microscopy image (Fig. 1f) of the  interlayer exciton at 1.45 eV shows that the emission is homogenous over the heterostructure  region, confirming the high quality of the interfacial contact.",12/10.1038/s41563-020-0670-3
45/419,We calculated the energy of the four lowest-energy optical  transitions between the valence-band maximum (VBM) in the K valley and the conduction-band  minimum (CBM) in the K and the Q valleys (Fig. 2c and Table S1) for different stacking  configurations.,"Highlighted in color are different  local, high-symmetry stacking configurations (Fig. S6); they are labeled according to the  nomenclature introduced in Ref.13, where Hh h and Rh M correspond to the atomic registries of 2H  and 3R bulk polytypes, respectively. We calculated the energy of the four lowest-energy optical  transitions between the valence-band maximum (VBM) in the K valley and the conduction-band  minimum (CBM) in the K and the Q valleys (Fig. 2c and Table S1) for different stacking  configurations.",12/10.1038/s41563-020-0670-3
50/419,"Averaged over the whole moiré pattern, the mean difference ∆𝐸𝐾𝑄 is larger for 0 than for 60  (88 meV vs. 62 meV, see Table S3).","The gray area in Fig. 2d indicates the spatial variation of the  energy difference between the K-Q and the K-K transitions, ∆𝐸𝐾𝑄 (also indicated in Fig. 2c). Averaged over the whole moiré pattern, the mean difference ∆𝐸𝐾𝑄 is larger for 0 than for 60  (88 meV vs. 62 meV, see Table S3).",12/10.1038/s41563-020-0670-3
54/419,"c,  Schematic representation of a typical band structure of a WS2-WSe2 heterobilayer in a (strained) primitive unit cell.","Brown, yellow, and orange circles mark regions with high-symmetry stacking configurations. c,  Schematic representation of a typical band structure of a WS2-WSe2 heterobilayer in a (strained) primitive unit cell.",12/10.1038/s41563-020-0670-3
56/419,They are either transitions in the K valley (K-K) or  transitions between the valence band maximum in K and the conduction band minimum in the Q valley (K-Q).,The four lowest-energy transitions are indicated by arrows. They are either transitions in the K valley (K-K) or  transitions between the valence band maximum in K and the conduction band minimum in the Q valley (K-Q).,12/10.1038/s41563-020-0670-3
62/419,We employed a linearly-polarized pump excitation (at either 1.80 eV or 1.60 eV) to  create A excitons in WSe2.,"First, to test the prediction (i), we selectively monitored electrons and holes in the K  valleys using pump-probe transient absorption (TA) spectroscopy, as schematically shown in  Fig. 3a. We employed a linearly-polarized pump excitation (at either 1.80 eV or 1.60 eV) to  create A excitons in WSe2.",12/10.1038/s41563-020-0670-3
63/419,"Following the photoexcitation, electrons are transferred from WSe2 to  WS2 within 100 fs, while the holes remained in the WSe2 31.","We employed a linearly-polarized pump excitation (at either 1.80 eV or 1.60 eV) to  create A excitons in WSe2. Following the photoexcitation, electrons are transferred from WSe2 to  WS2 within 100 fs, while the holes remained in the WSe2 31.",12/10.1038/s41563-020-0670-3
64/419,"We used a linearly-polarized probe  beam at 1.60 eV, to monitor the hole population in the K (or K’) valley of WSe2, and a probe  energy of 2.00 eV, to track the electron population in the K (or K’) valley of WS2.","Following the photoexcitation, electrons are transferred from WSe2 to  WS2 within 100 fs, while the holes remained in the WSe2 31. We used a linearly-polarized probe  beam at 1.60 eV, to monitor the hole population in the K (or K’) valley of WSe2, and a probe  energy of 2.00 eV, to track the electron population in the K (or K’) valley of WS2.",12/10.1038/s41563-020-0670-3
65/419,"Because the  holes reside in the K valley of WSe2 for both the K-K and K-Q interlayer excitons, the hole  population probed at 1.60 eV corresponds to the sum of the K-K and K-Q exciton populations  (𝑁𝐾−𝐾+ 𝑁𝐾−𝑄).","We used a linearly-polarized probe  beam at 1.60 eV, to monitor the hole population in the K (or K’) valley of WSe2, and a probe  energy of 2.00 eV, to track the electron population in the K (or K’) valley of WS2. Because the  holes reside in the K valley of WSe2 for both the K-K and K-Q interlayer excitons, the hole  population probed at 1.60 eV corresponds to the sum of the K-K and K-Q exciton populations  (𝑁𝐾−𝐾+ 𝑁𝐾−𝑄).",12/10.1038/s41563-020-0670-3
67/419,"The dynamics probed at 2.00 eV reflects only the K-K interlayer exciton  population (𝑁𝐾−𝐾), because only the electrons in the K valley of WS2 contribute the TA signal.","On the other hand, electrons are located in different valleys for the K-K and K- Q interlayer excitons. The dynamics probed at 2.00 eV reflects only the K-K interlayer exciton  population (𝑁𝐾−𝐾), because only the electrons in the K valley of WS2 contribute the TA signal.",12/10.1038/s41563-020-0670-3
68/419,"Thus, the population dynamics of the K-K and K-Q excitons can be elucidated by comparing the  dynamics probed at 1.60 eV to that probed at 2.00 eV.   As shown in Fig. 3b, the decay time of (𝑁𝐾−𝐾+ 𝑁𝐾−𝑄) in the heterostructures is ~1 ns at  295 K, which is much longer than the intralayer excitons in 1L-WSe2 (~40 ps), due to the  spatially-indirect nature of the interlayer excitons6.","The dynamics probed at 2.00 eV reflects only the K-K interlayer exciton  population (𝑁𝐾−𝐾), because only the electrons in the K valley of WS2 contribute the TA signal. Thus, the population dynamics of the K-K and K-Q excitons can be elucidated by comparing the  dynamics probed at 1.60 eV to that probed at 2.00 eV.   As shown in Fig. 3b, the decay time of (𝑁𝐾−𝐾+ 𝑁𝐾−𝑄) in the heterostructures is ~1 ns at  295 K, which is much longer than the intralayer excitons in 1L-WSe2 (~40 ps), due to the  spatially-indirect nature of the interlayer excitons6.",12/10.1038/s41563-020-0670-3
71/419,"The 𝑁𝐾−𝐾 dynamics probed at 2.00 eV at 295 K is  presented in Fig. 3d and Fig. S9, showing that the decay time for 0° is about 3 times shorter than  that for 60°.","The hole dynamics do not exhibit significant twist-9 angle dependence (Fig. 3b and Fig. S8). The 𝑁𝐾−𝐾 dynamics probed at 2.00 eV at 295 K is  presented in Fig. 3d and Fig. S9, showing that the decay time for 0° is about 3 times shorter than  that for 60°.",12/10.1038/s41563-020-0670-3
77/419,The hole dynamics is determined by selectively exciting the WSe2 layer and  probing the WSe2 layer using a probe photon energy of 1.60 eV. The hole population corresponds to the sum of K-K  and K-Q exciton populations.,The pump-induced change in the probe reflectance (∆𝑅𝑝𝑢𝑚𝑝−𝑜𝑛−∆𝑅𝑝𝑢𝑚𝑝−𝑜𝑓𝑓) is collected as  function of the pump-probe delay time. The hole dynamics is determined by selectively exciting the WSe2 layer and  probing the WSe2 layer using a probe photon energy of 1.60 eV. The hole population corresponds to the sum of K-K  and K-Q exciton populations.,12/10.1038/s41563-020-0670-3
78/419,The electron dynamics is determined by selectively exciting the WSe2 layer and  probing the WS2 layer using a probe photon energy of 2.00 eV. The electron population reflects the K-K exciton  population only.,The hole dynamics is determined by selectively exciting the WSe2 layer and  probing the WSe2 layer using a probe photon energy of 1.60 eV. The hole population corresponds to the sum of K-K  and K-Q exciton populations. The electron dynamics is determined by selectively exciting the WSe2 layer and  probing the WS2 layer using a probe photon energy of 2.00 eV. The electron population reflects the K-K exciton  population only.,12/10.1038/s41563-020-0670-3
80/419,"d, Electron dynamics in the heterobilayers with twist angles of 0°  and 60° at 295 K. Note that the exciton dynamics of the 1L-WS2 is measured using pump and probe energies of 3.10  and 2.00 eV, respectively.","b, Hole dynamics in the heterobilayers with twist angles of 0° and 60° at 295 K. c, Temperature- dependent hole dynamics in the 0° heterobilayer. d, Electron dynamics in the heterobilayers with twist angles of 0°  and 60° at 295 K. Note that the exciton dynamics of the 1L-WS2 is measured using pump and probe energies of 3.10  and 2.00 eV, respectively.",12/10.1038/s41563-020-0670-3
86/419,"These results support that the K-K and K-Q  exciton dynamics are modulated by the twist-angle dependence of the energy gap ∆𝐸𝐾𝑄.10 The twist-angle- and temperature-dependent K-K exciton dynamics can be explained by  intraband scattering of electrons between the K and Q valleys, influenced by ∆𝐸𝐾𝑄. Initially, the  electrons transferred from WSe2 reside in the K valley of WS2, but they are quickly scattered to  the Q valley by the intervalley scattering (Fig. 3a).","All decay curves are fitted using a bi- exponential decay function, convoluted with a Gaussian function. These results support that the K-K and K-Q  exciton dynamics are modulated by the twist-angle dependence of the energy gap ∆𝐸𝐾𝑄.10 The twist-angle- and temperature-dependent K-K exciton dynamics can be explained by  intraband scattering of electrons between the K and Q valleys, influenced by ∆𝐸𝐾𝑄. Initially, the  electrons transferred from WSe2 reside in the K valley of WS2, but they are quickly scattered to  the Q valley by the intervalley scattering (Fig. 3a).",12/10.1038/s41563-020-0670-3
88/419,"On the other hand, the back scattering of  electrons from the Q to the K valley by phonon absorption is a thermal process and the  probability of this process is governed by Bose-Einstein statistics, 𝑓(𝐸) ∝1/(𝑒 − ∆𝐸𝐾𝑄 𝑘𝐵𝑇−1),  where 𝑘𝐵 is the Boltzmann constant and 𝑇 is the temperature.","The scattering from K to Q through phonon  emission does not require thermal activation (∆𝐸𝐾𝑄> 0) and is much faster than the electron– hole recombination ( ~100 ps vs. ~3 ns at 78K). On the other hand, the back scattering of  electrons from the Q to the K valley by phonon absorption is a thermal process and the  probability of this process is governed by Bose-Einstein statistics, 𝑓(𝐸) ∝1/(𝑒 − ∆𝐸𝐾𝑄 𝑘𝐵𝑇−1),  where 𝑘𝐵 is the Boltzmann constant and 𝑇 is the temperature.",12/10.1038/s41563-020-0670-3
91/419,"Higher  temperature is required for 0° than for 60° to thermally excite phonons to scatter electrons from  Q to K (Fig. 3f), directly confirming that ∆𝐸𝐾𝑄 is larger, as predicted by DFT (88 meV vs. 62  meV, see Table S3 for more details).","The impact of temperature for the scattering from Q to K can be seen in  Fig. 3f, where the K-K exciton decay time increases as the temperature increases. Higher  temperature is required for 0° than for 60° to thermally excite phonons to scatter electrons from  Q to K (Fig. 3f), directly confirming that ∆𝐸𝐾𝑄 is larger, as predicted by DFT (88 meV vs. 62  meV, see Table S3 for more details).",12/10.1038/s41563-020-0670-3
102/419,"The  interlayer exciton transport in both 60° and 0° heterobilayers was imaged with a linearly  polarized pump with a photon energy of 1.60 eV and with a beam size of ~500 nm (Fig. S13),  creating A excitons in WSe2.","Briefly, a Gaussian  pump beam was fixed on the sample and a Gaussian probe beam was scanned relative to the  pump beam with a pair of galvanometer scanners, to obtain interlayer-exciton propagation at  different time delays (more details can be found in the Supplementary Note 2 and Fig. S12). The  interlayer exciton transport in both 60° and 0° heterobilayers was imaged with a linearly  polarized pump with a photon energy of 1.60 eV and with a beam size of ~500 nm (Fig. S13),  creating A excitons in WSe2.",12/10.1038/s41563-020-0670-3
106/419,"We employed  a probe energy of 2.00 eV with a beam size of ~400 nm (Fig. S13), to monitor the population of  K-K interlayer excitons (no TA signal was observed in the WS2 only region, Fig. S14).","Within the pulse width of ~200 fs, the  electrons were transferred to WS2, leading to the formation of interlayer excitons. We employed  a probe energy of 2.00 eV with a beam size of ~400 nm (Fig. S13), to monitor the population of  K-K interlayer excitons (no TA signal was observed in the WS2 only region, Fig. S14).",12/10.1038/s41563-020-0670-3
117/419,"a, Spatial profiles of the exciton population in WS2- WSe2 (60°) with pump and probe photon energies of 1.6 and 2.0 eV, respectively, at 295 K.","The transport of interlayer excitons is significantly faster than that of intralayer excitons in 1L- WS2, 1L-WSe2, 2L-WS2, and 2L-WSe2 for exciton densities of ~1012 cm-2 (Fig. 4f and Fig. S15),  demonstrating the central role of many-body repulsive interactions in the transport of interlayer  excitons.13   Fig. 4 | Interlayer exciton transport in moiré potentials. a, Spatial profiles of the exciton population in WS2- WSe2 (60°) with pump and probe photon energies of 1.6 and 2.0 eV, respectively, at 295 K.",12/10.1038/s41563-020-0670-3
123/419,"f, Twist-angle-dependent interlayer exciton  transport in the WS2-WSe2 heterobilayers.","Solid lines are fits using the Equation 1. f, Twist-angle-dependent interlayer exciton  transport in the WS2-WSe2 heterobilayers.",12/10.1038/s41563-020-0670-3
126/419,"Note that the exciton diffusion in 1L-WS2 and 1L-WSe2 is measured using the pump photon-energy of 3.10 eV and  probe photon-energy of 2.00 and 1.60 eV, respectively.","The black and grey lines are fits using linear functions. Note that the exciton diffusion in 1L-WS2 and 1L-WSe2 is measured using the pump photon-energy of 3.10 eV and  probe photon-energy of 2.00 and 1.60 eV, respectively.",12/10.1038/s41563-020-0670-3
141/419,A deeper trapping potential of 𝑈= 0.15 eV was determined for the 0° heterobilayer  by fitting data in Fig. 4c and Fig. 4e.,"As shown in Fig. 4b and Fig.4d, solid lines  represent the simulated 𝜎𝑡 2 −𝜎0 2 as function of the delay time based on Eq. 1 for the 60°  heterobilayer, and a moiré potential of 𝑈= 0.11 𝑒𝑉 was obtained (other parameters are listed in  Table S4). A deeper trapping potential of 𝑈= 0.15 eV was determined for the 0° heterobilayer  by fitting data in Fig. 4c and Fig. 4e.",12/10.1038/s41563-020-0670-3
143/419,"The  measured potential values agree well with the averaged potential heights of 0.08 eV and 0.17 eV  for 60° and 0°, respectively, predicted by our DFT calculations (Fig. 2d and Table S2).","The trapping potentials measured by the TAM experiments  represent the averaged potentials experienced by the interlayer K-K excitons, because the pump  and probe beam size of ~400 nm is much larger than the moiré periodicity of ~8.5 nm. The  measured potential values agree well with the averaged potential heights of 0.08 eV and 0.17 eV  for 60° and 0°, respectively, predicted by our DFT calculations (Fig. 2d and Table S2).",12/10.1038/s41563-020-0670-3
148/419,The delocalization at high densities is consistent with the recent report of broad  interlayer PL peak at high density that splits into several narrow lines at low power15.,"For instance, excitons can travel ~200 nm in 1 ns at a density of 2.01012 cm-2 at room  temperature. The delocalization at high densities is consistent with the recent report of broad  interlayer PL peak at high density that splits into several narrow lines at low power15.",12/10.1038/s41563-020-0670-3
155/419,"Geim, A. K. & Grigorieva, I. V. Van der Waals heterostructures.","We also stress that K-Q interlayer excitons are  the ground state instead of the commonly assumed K-K excitons and are necessary to be  considered when discussing interlayer excitons in the WS2-WSe2 systems. References  1. Geim, A. K. & Grigorieva, I. V. Van der Waals heterostructures.",12/10.1038/s41563-020-0670-3
157/419,"Novoselov, K. S., Mishchenko, A., Carvalho, A. & Castro Neto, A. H. 2D materials and van  der Waals heterostructures.","Nature 499, 419, (2013).16 2. Novoselov, K. S., Mishchenko, A., Carvalho, A. & Castro Neto, A. H. 2D materials and van  der Waals heterostructures.",12/10.1038/s41563-020-0670-3
159/419,"Rivera, P., Seyler, K. L., Yu, H., Schaibley, J. R., Yan, J., Mandrus, D. G., Yao, W. & Xu, X.  Valley-polarized exciton dynamics in a 2D semiconductor heterostructure.","Science 353, aac9439, (2016). 3. Rivera, P., Seyler, K. L., Yu, H., Schaibley, J. R., Yan, J., Mandrus, D. G., Yao, W. & Xu, X.  Valley-polarized exciton dynamics in a 2D semiconductor heterostructure.",12/10.1038/s41563-020-0670-3
161/419,"4. Jin, C., Kim, J., Utama, M. I. B., Regan, E. C., Kleemann, H., Cai, H., Shen, Y., Shinner, M.  J., Sengupta, A., Watanabe, K., Taniguchi, T., Tongay, S., Zettl, A. & Wang, F. Imaging of pure  spin-valley diffusion current in WS2/WSe2 heterostructures.","Science 351, 688-691,  (2016). 4. Jin, C., Kim, J., Utama, M. I. B., Regan, E. C., Kleemann, H., Cai, H., Shen, Y., Shinner, M.  J., Sengupta, A., Watanabe, K., Taniguchi, T., Tongay, S., Zettl, A. & Wang, F. Imaging of pure  spin-valley diffusion current in WS2/WSe2 heterostructures.",12/10.1038/s41563-020-0670-3
